"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","13079658180","176704140","743539","6420","376011","293397","3963","74.02",""
"2","","League of Legends","12514488000","149388660","2435596","5375","185819","280719","3351","83.77",""
"3","","Grand Theft Auto V","8216073300","108824160","477623","4936","126104","184299","2441","75.5",""
"4","","Dota 2","5928935820","42099480","1690706","1906","34983","132995","944","140.83",""
"5","","New World","5240675820","161313300","465466","9903","132349","117556","3618","32.49",""
"6","","Counter-Strike: Global Offensive","4210825380","57382080","665633","2557","97136","94455","1287","73.38",""
"7","","Minecraft","4057186440","118090380","763520","4811","247477","91009","2648","34.36",""
"8","","VALORANT","3849873180","162926220","261799","5616","230732","86358","3654","23.63",""
"9","","Apex Legends","3550069200","195561960","278944","6699","231430","79633","4386","18.15",""
"10","","Fortnite","3526854420","227944800","287301","9831","359321","79112","5113","15.47",""
"11","","FIFA 22","3394550460","65970540","366427","4767","104675","76145","1479","51.46",""
"12","","Call of Duty: Warzone","3058854660","143864880","217091","7159","135394","68614","3227","21.26",""
"13","","Special Events","1814030340","2517600","1134322","1236","7450","40691","56","720.54",""
"14","","Dead by Daylight","1506211920","96950940","112127","4131","125179","33786","2174","15.54",""
"15","","Music","1226432640","51378780","144613","1790","46261","27510","1152","23.87",""
"16","","Hearthstone","1182354000","9091560","101280","769","11772","26522","203","130.05",""
"17","","Diablo II: Resurrected","1172537100","27154860","81818","1281","21636","26301","609","43.18",""
"18","","Slots","1096116720","4825500","75847","201","4466","24587","108","227.15",""
"19","","Back 4 Blood","928297020","37321980","219149","5177","80553","20823","837","24.87",""
"20","","Sports","867190740","5680680","212418","452","9600","19452","127","152.66",""
"21","","Rocket League","859321200","43256400","133900","1747","113324","19275","970","19.87",""
"22","","Path of Exile","825978840","11149980","237109","3107","9193","18528","250","74.08",""
"23","","ASMR","796264560","8981460","37890","279","5411","17861","201","88.66",""
"24","","Genshin Impact","784203900","47329260","579931","2449","70205","17590","1061","16.57",""
"25","","World of Warcraft","747650700","44066880","45051","3237","37297","16770","988","16.97",""
"26","","Escape from Tarkov","735328680","28012260","135084","1694","22173","16494","628","26.25",""
"27","","ROBLOX","715357380","23834040","999409","1037","71662","16046","534","30.01",""
"28","","Lost Ark","666629880","10326660","62758","678","5465","14953","231","64.55",""
"29","","Far Cry 6","638652180","24278700","215318","2729","34485","14325","544","26.31",""
"30","","Tom Clancy's Rainbow Six Siege","595582200","33187860","63033","1316","66372","13359","744","17.95",""
"31","","Teamfight Tactics","563820840","8844420","60972","455","16767","12647","198","63.75",""
"32","","Art","553025700","34183320","35758","1210","54004","12405","766","16.18",""
"33","","PUBG: BATTLEGROUNDS","529575420","28095660","138684","1010","27517","11879","630","18.85",""
"34","","Battlefield 2042","488444880","13921920","339417","5035","51930","10956","312","35.08",""
"35","","FINAL FANTASY XIV ONLINE","488188680","27773460","36416","1460","27871","10950","623","17.58",""
"36","","Overwatch","480888900","31658220","24865","1496","53751","10787","710","15.19",""
"37","","Old School RuneScape","479840820","7497240","95565","428","6518","10763","168","64",""
"38","","Phasmophobia","451541880","30528480","172868","3699","96685","10128","684","14.79",""
"39","","Destiny 2","445096140","37871640","47302","1886","46976","9984","849","11.75",""
"40","","NBA 2K22","425308440","35242620","40443","1855","40905","9540","790","12.07",""
"41","","Call of Duty: Modern Warfare","382856160","153781860","49117","7224","188713","8588","3449","2.49",""
"42","","The Dark Pictures Anthology: House of Ashes","379824600","4730160","241835","1337","14346","8520","106","80.3",""
"43","","Talk Shows & Podcasts","379061340","10486080","79619","558","13149","8502","235","36.15",""
"44","","Rust","338642460","13628460","29882","770","16815","7596","305","24.85",""
"45","","Garena Free Fire","337772580","13520760","94288","639","17471","7576","303","24.98",""
"46","","Chess","325355940","3101640","71482","150","4993","7298","69","104.9",""
"47","","Darkest Dungeon II","322290060","1819680","164376","731","4246","7229","40","177.11",""
"48","","Super Smash Bros. Ultimate","289225500","7994460","128102","2912","18215","6487","179","36.18",""
"49","","Magic: The Gathering","286614660","4344660","65842","193","5541","6429","97","65.97",""
"50","","SMITE","278642340","10027320","19374","450","12854","6250","224","27.79",""
"51","","World of Tanks","269174220","8048340","26546","459","8089","6038","180","33.44",""
"52","","Metroid Dread","267301380","10216140","53588","1855","15986","5995","229","26.16",""
"53","","StarCraft II","256290900","2844660","31049","104","3312","5749","63","90.1",""
"54","","Poker","251838660","4444320","28566","251","3504","5649","99","56.67",""
"55","","Fall Guys","250953060","7033920","287189","370","29287","5629","157","35.68",""
"56","","Age of Empires IV","245448300","2377800","107101","1151","6617","5505","53","103.22",""
"57","","Brawlhalla","241725480","4938060","57927","227","16749","5422","110","48.95",""
"58","","Clash Royale","240800100","3532200","59395","238","9330","5401","79","68.17",""
"59","","Among Us","235450440","5582880","101142","348","23806","5281","125","42.17",""
"60","","Sea of Thieves","235139040","13826280","35620","642","21802","5274","310","17.01",""
"61","","Nickelodeon All-Star Brawl","228157260","2476380","189161","790","9121","5117","55","92.13",""
"62","","Animal Crossing: New Horizons","221951940","6523260","39237","585","13489","4978","146","34.02",""
"63","","Marvel's Guardians of the Galaxy","214503120","3021780","120167","894","6210","4811","67","70.99",""
"64","","Call of Duty: Black Ops Cold War","195956100","44192760","67207","2083","69214","4395","991","4.43",""
"65","","Inscryption","194404380","2804040","100386","337","6870","4360","62","69.33",""
"66","","DayZ","192005520","10382640","12688","442","11688","4306","232","18.49",""
"67","","Heroes of Might and Magic III: The Restoration of Erathia","189704760","1295400","43409","68","742","4255","29","146.44",""
"68","","Games + Demos","188598240","24203400","82554","1424","56832","4230","542","7.79",""
"69","","Axie Infinity","186402300","3967140","31295","176","5052","4181","88","46.99",""
"70","","Pokémon UNITE","186032640","12606720","21219","830","22732","4173","282","14.76",""
"71","","World of Warships","182923260","3705360","17862","177","3541","4103","83","49.37",""
"72","","Pools, Hot Tubs, and Beaches","177769320","2717100","31873","92","2609","3987","60","65.43",""
"73","","VRChat","173815860","5718240","58135","327","10025","3898","128","30.4",""
"74","","Tabletop RPGs","173035260","1383240","98006","120","2507","3881","31","125.09",""
"75","","Travel & Outdoors","167761560","4653060","42735","155","3573","3763","104","36.05",""
"76","","Black Desert","166549680","6862860","17187","255","5785","3735","153","24.27",""
"77","","The Cycle: Frontier","166268400","3047520","99069","365","6359","3729","68","54.56",""
"78","","Virtual Casino","165380940","822540","29256","45","1064","3709","18","201.06",""
"79","","Dungeons & Dragons","156629280","4873500","214452","400","7781","3513","109","32.14",""
"80","","Elyon","154248180","3253800","70582","451","4761","3460","72","47.41",""
"81","","I'm Only Sleeping","153849060","3252060","37984","205","2999","3451","72","47.31",""
"82","","Pokémon Sword/Shield","152960520","7128540","16227","280","9430","3431","159","21.46",""
"83","","Retro","149071380","5874840","10751","325","8118","3343","131","25.37",""
"84","","Red Dead Redemption 2","146554800","13715760","30689","574","19504","3287","307","10.69",""
"85","","Food & Drink","134843880","2152320","47552","109","6722","3024","48","62.65",""
"86","","Foxhole","133314960","867480","19808","45","862","2990","19","153.68",""
"87","","Bloons TD 6","129415620","2211900","101118","110","7364","2902","49","58.51",""
"88","","Hunt: Showdown","127661400","9817920","20826","690","11319","2863","220","13",""
"89","","Age of Empires II","125674560","2470620","31347","113","3367","2819","55","50.87",""
"90","","Super Mario 64","124915260","2082300","54935","101","3524","2802","46","59.99",""
"91","","Mario Party Superstars","123335100","1129800","93897","862","4314","2766","25","109.17",""
"92","","Street Fighter V","122874540","2316480","36931","104","3381","2756","51","53.04",""
"93","","Dark Souls III","122443440","7389060","18932","285","13070","2746","165","16.57",""
"94","","Midnight Cinema","121502280","982500","5785","37","293","2725","22","123.67",""
"95","","TrackMania","120276000","1351140","43463","166","2442","2697","30","89.02",""
"96","","Riders Republic","120036060","1277460","87077","321","4821","2692","28","93.96",""
"97","","Madden NFL 22","111426780","11853300","20212","741","19053","2499","265","9.4",""
"98","","Legion TD 2","110284200","1154760","24840","57","1596","2473","25","95.5",""
"99","","Science & Technology","106329240","6302880","37489","202","4359","2385","141","16.87",""
"100","","osu!","105978180","11109720","14304","468","29739","2377","249","9.54",""
