"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","14375441940","182170200","716143","6666","435762","333227","4222","78.91",""
"2","","League of Legends","7246119420","128097300","2597522","4403","196176","167967","2969","56.57",""
"3","","Fortnite","7066965180","513763440","845399","33128","1558854","163814","11909","13.76",""
"4","","Grand Theft Auto V","6136202160","107618100","260756","4320","185811","142239","2494","57.02",""
"5","","World of Warcraft","4892630220","68016480","579740","6405","66416","113412","1576","71.93",""
"6","","VALORANT","3845088600","160116360","239372","5422","280022","89130","3711","24.01",""
"7","","Minecraft","2772308040","86703720","407493","4022","250157","64263","2009","31.97",""
"8","","Counter-Strike","2623561380","54923820","380087","2482","133716","60815","1273","47.77",""
"9","","Call of Duty: Modern Warfare III","2390833320","153754980","199731","16940","289658","55420","3564","15.55",""
"10","","Casino Jackpot","2034175740","4581060","100824","179","2648","47152","106","444.04",""
"11","","Dota 2","2023384860","47657160","135782","2125","59455","46902","1104","42.46",""
"12","","EA Sports FC 24","1816039140","45651660","382126","2830","136135","42096","1058","39.78",""
"13","","Apex Legends","1561268700","132894240","105107","5478","229968","36190","3080","11.75",""
"14","","Teamfight Tactics","1368239280","18013980","120133","1260","40191","31716","417","75.95",""
"15","","Overwatch 2","1187381280","63037260","248662","2494","149790","27523","1461","18.84",""
"16","","Dead by Daylight","1057669020","67820220","102418","3997","110062","24517","1572","15.6",""
"17","","Lethal Company","1024677540","28486500","190455","3647","99623","23752","660","35.97",""
"18","","Slots","918580020","4559460","53710","191","4546","21293","105","201.47",""
"19","","Sports","903226380","6336360","260703","500","12195","20937","146","142.55",""
"20","","Escape from Tarkov","849302100","27207720","74855","1174","23070","19687","630","31.22",""
"21","","Music","815231040","40487580","90484","1517","48443","18897","938","20.14",""
"22","","Genshin Impact","705895620","69436560","303446","7028","88968","16362","1609","10.17",""
"23","","Hearthstone","702910800","5911980","47824","391","9741","16293","137","118.9",""
"24","","Tom Clancy's Rainbow Six Siege","668580480","39578040","134454","1913","145997","15497","917","16.89",""
"25","","Street Fighter 6","640600620","7682940","87345","367","15677","14849","178","83.38",""
"26","","PUBG: BATTLEGROUNDS","610363920","26882820","73896","1096","42098","14148","623","22.7",""
"27","","Call of Duty: Warzone","573185280","82321320","65447","5286","205353","13286","1908","6.96",""
"28","","Special Events","570559200","3000300","701061","781","7014","13225","69","190.17",""
"29","","Virtual Casino","569928840","1794300","37405","93","1311","13211","41","317.63",""
"30","","Lost Ark","532074300","11454420","107715","623","7223","12333","265","46.45",""
"31","","ASMR","528933840","6647160","22881","207","3898","12260","154","79.57",""
"32","","Old School RuneScape","520676940","8129760","58090","708","7387","12069","188","64.05",""
"33","","Art","470368860","26883480","23416","944","44980","10903","623","17.5",""
"34","","Rust","464949900","13646400","45016","954","24423","10777","316","34.07",""
"35","","ARK: Survival Ascended","444149520","15829020","58633","957","20479","10295","366","28.06",""
"36","","World of Tanks","434762580","6977760","48899","340","10025","10077","161","62.31",""
"37","","Diablo IV","394752600","18393720","36000","820","30252","9150","426","21.46",""
"38","","Pokémon Community Game","384799080","2461260","233047","118","1088","8919","57","156.34",""
"39","","Suika Game","381265560","2234700","115686","153","13289","8837","51","170.61",""
"40","","Black Desert","371341560","8704620","25981","340","6740","8607","201","42.66",""
"41","","I'm Only Sleeping","313766520","8036880","75227","312","5585","7273","186","39.04",""
"42","","Backpack Battles","308839140","2650020","57670","117","6000","7158","61","116.54",""
"43","","ELDEN RING","298024320","14335680","40131","578","33251","6908","332","20.79",""
"44","","Talk Shows & Podcasts","294931320","10852620","105845","515","14197","6836","251","27.18",""
"45","","DayZ","291980340","13301280","41886","587","24916","6768","308","21.95",""
"46","","Rocket League","276658320","30495960","56562","1298","146243","6413","706","9.07",""
"47","","Retro","253945140","10409520","16508","365","10803","5886","241","24.4",""
"48","","Travel & Outdoors","240951900","5318100","54912","166","4150","5585","123","45.31",""
